func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,92,804.646,0.0,115.6864,13534,8.69275,7.41,-1.0,1,-1.0
1,91,806.5968,0.0,111.8054,5384,7.62808,7.16,-1.0,1,-1.0
1,67,843.5552,0.0,87.7644,54125,6.30683,5.61,-1.0,1,-1.0
1,63,844.0817,0.0,85.9736,10555,3.78233,5.49,-1.0,1,-1.0
1,71,844.0835,0.0,89.6469,9111,3.0819,5.74,-1.0,1,-1.0
1,66,844.2904,0.0,87.6997,1840,3.92313,5.61,-1.0,1,-1.0
1,65,844.4123,0.0,87.6599,2256,3.42427,5.61,-1.0,1,-1.0
1,93,882.5381,0.0,118.53,42109,8.07614,7.61,-1.0,1,-1.0
1,94,883.5594,0.0,119.2014,7251,7.88007,7.67,-1.0,1,-1.0
1,69,892.1169,0.0,88.3324,3153,5.55296,5.68,-1.0,1,-1.0
1,73,901.0887,0.0,90.8827,36869,5.78927,5.81,-1.0,1,-1.0
1,72,901.6049,0.0,90.5891,15091,5.49417,5.81,-1.0,1,-1.0
1,97,903.7278,0.0,123.1621,10618,8.83391,7.93,-1.0,1,-1.0
1,98,919.6897,0.0,125.0402,6538,8.60426,8.06,-1.0,1,-1.0
1,96,922.6692,0.0,122.2524,4660,8.42322,7.86,-1.0,1,-1.0
1,95,934.6645,0.0,121.0388,2271,5.18734,7.8,-1.0,1,-1.0
1,79,956.1471,0.0,94.2992,9967,6.3929,6.06,-1.0,1,-1.0
1,78,956.6278,0.0,94.2346,20827,5.85012,6.06,-1.0,1,-1.0
1,77,957.139,0.0,93.7434,7368,5.59328,6.0,-1.0,1,-1.0
1,76,965.125,0.0,93.1337,38675,6.01276,6.0,-1.0,1,-1.0
1,75,965.6423,0.0,92.955,17216,5.65211,5.94,-1.0,1,-1.0
1,101,995.6469,0.0,131.777,21980,8.43965,8.44,-1.0,1,-1.0
1,82,997.1783,0.0,96.3493,3599,5.28407,6.19,-1.0,1,-1.0
1,83,1014.6656,0.0,96.7083,39770,6.05722,6.19,-1.0,1,-1.0
1,84,1015.183,0.0,96.8785,19295,5.90139,6.19,-1.0,1,-1.0
1,100,1018.7647,0.0,131.7265,4368,8.71662,8.43,-1.0,1,-1.0
1,99,1033.7543,0.0,131.3834,3399,5.35831,8.43,-1.0,1,-1.0
1,102,1047.7649,0.0,132.8298,3051,6.16644,8.5,-1.0,1,-1.0
1,103,1066.6956,0.0,137.9062,15335,8.24064,8.82,-1.0,1,-1.0
1,104,1146.8452,0.0,142.7881,9036,8.87702,9.14,-1.0,1,-1.0
1,106,1179.7968,0.0,152.8066,2451,5.20227,9.78,-1.0,1,-1.0
1,105,1203.8746,0.0,145.8772,6331,5.27304,9.33,-1.0,1,-1.0
1,108,1276.8438,0.0,161.5326,47712,9.24285,10.36,-1.0,1,-1.0
1,109,1277.8704,0.0,162.4955,13709,9.14287,10.42,-1.0,1,-1.0
1,107,1316.976,0.0,156.5054,9506,8.95783,10.04,-1.0,1,-1.0
1,110,1404.985,0.0,164.2483,5273,9.95566,10.55,-1.0,1,-1.0
