func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
2,1339,425.52576,26.67934,34.5,29412,425.52576,2.37,-1,1,-1,
2,1340,451.56827,26.68322,39.8,21636,451.56827,2.72,-1,1,-1,
2,1341,679.79834,26.73605,60.1,32318,679.79834,4.16,-1,1,-1,
2,1342,679.29614,26.73616,59.8,67233,679.29614,4.09,-1,1,-1,
2,1343,371.09875,26.74371,47.7,97534,371.09875,3.27,-1,1,-1,
2,1344,678.7957,26.77321,60,102462,678.7957,4.16,-1,1,-1,
2,1345,654.8452,26.81394,61.7,23231,654.8452,4.23,-1,1,-1,
2,1346,596.8236,26.8202,54.3,50041,596.8236,3.74,-1,1,-1,
2,1347,597.32556,26.8213,54.1,41850,597.32556,3.74,-1,1,-1,
2,1348,597.8256,26.82174,54.3,24113,597.8256,3.74,-1,1,-1,
2,1349,355.06625,26.82456,43.6,100276,355.06625,3,-1,1,-1,
2,1350,735.36975,26.82762,67.6,40823,735.36975,4.64,-1,1,-1,
2,1351,702.3727,26.82994,96.7,270045,702.3727,6.64,-1,1,-1,
2,1352,703.37604,26.83078,96.7,104247,703.37604,6.64,-1,1,-1,
2,1353,734.86774,26.83596,68.1,100499,734.86774,4.71,-1,1,-1,
2,1354,586.3897,26.83657,86.1,28856,586.3897,5.95,-1,1,-1,
2,1355,734.3665,26.83829,67.9,113725,734.3665,4.64,-1,1,-1,
2,1356,414.7598,26.83952,40,20022,414.7598,2.79,-1,1,-1,
2,1357,632.7984,26.88823,58.6,465572,632.7984,4.02,-1,1,-1,
2,1358,632.2986,26.88842,58.6,1268780,632.2986,4.02,-1,1,-1,
2,1359,631.79596,26.8891,58.6,1710684,631.79596,4.02,-1,1,-1,
2,1360,639.7926,26.90579,59,30221,639.7926,4.09,-1,1,-1,
2,1361,507.57217,26.90661,47.7,28008,507.57217,3.27,-1,1,-1,
2,1362,499.28586,26.91195,46.5,40733,499.28586,3.2,-1,1,-1,
2,1363,507.9348,26.91356,47.9,36909,507.9348,3.27,-1,1,-1,
2,1364,507.2992,26.9142,79.4,15802,507.2992,5.48,-1,1,-1,
2,1365,507.4321,26.91422,47.9,71252,507.4321,3.27,-1,1,-1,
2,1366,518.28864,26.91665,48.3,12566,518.28864,3.34,-1,1,-1,
2,1367,507.80203,26.9182,47.9,900111,507.80203,3.27,-1,1,-1,
2,1368,315.12857,26.9188,41.3,25584,315.12857,2.87,-1,1,-1,
2,1369,508.80276,26.91902,47.9,68235,508.80276,3.27,-1,1,-1,
2,1370,507.30026,26.91998,48,1559175,507.30026,3.34,-1,1,-1,
2,1371,473.30524,26.92199,69.8,24386,473.30524,4.79,-1,1,-1,
2,1372,498.78568,26.92225,46.6,63050,498.78568,3.2,-1,1,-1,
2,1373,699.4678,26.92237,105.2,28909,699.4678,7.26,-1,1,-1,
2,1374,508.30173,26.9227,47.9,254624,508.30173,3.27,-1,1,-1,
2,1375,498.2924,26.92316,46.9,18968,498.2924,3.2,-1,1,-1,
2,1376,757.42413,26.92447,66.7,38696,757.42413,4.57,-1,1,-1,
2,1377,633.80133,26.92633,58.6,36093,633.80133,4.02,-1,1,-1,
2,1378,632.9504,26.92634,58.4,20134,632.9504,4.02,-1,1,-1,
2,1379,828.5102,26.92705,125.4,35070,828.5102,8.63,-1,1,-1,
2,1380,633.30054,26.92728,58.6,119798,633.30054,4.02,-1,1,-1,
2,1381,471.7799,26.92738,45.2,26956,471.7799,3.13,-1,1,-1,
2,1382,632.1007,26.92743,58.4,24978,632.1007,4.02,-1,1,-1,
2,1383,632.44696,26.92755,58.5,44112,632.44696,4.02,-1,1,-1,
2,1384,631.945,26.92804,58.5,77287,631.945,4.02,-1,1,-1,
2,1385,756.92065,26.93033,67,91407,756.92065,4.64,-1,1,-1,
2,1386,504.61588,26.94238,44.3,21450,504.61588,3.06,-1,1,-1,
2,1387,658.33655,26.95605,58.2,29224,658.33655,4.02,-1,1,-1,
2,1388,504.95065,26.95609,44.3,27635,504.95065,3.06,-1,1,-1,
2,1389,756.4209,26.96598,66.8,107580,756.4209,4.57,-1,1,-1,
2,1390,575.3137,26.98467,80.9,220201,575.3137,5.54,-1,1,-1,
2,1391,576.3155,26.9859,81,68030,576.3155,5.61,-1,1,-1,
2,1392,611.0375,27.04279,51.8,50141,611.0375,3.54,-1,1,-1,
2,1393,541.75885,27.06136,49.2,20833,541.75885,3.4,-1,1,-1,
2,1394,611.784,27.06689,52.3,23622,611.784,3.61,-1,1,-1,
2,1395,611.53687,27.08308,51.9,38543,611.53687,3.54,-1,1,-1,
2,1396,611.2866,27.10894,52,49110,611.2866,3.61,-1,1,-1,
2,1397,682.3702,27.14785,64.4,57976,682.3702,4.43,-1,1,-1,
2,1398,682.8688,27.14901,65,19890,682.8688,4.5,-1,1,-1,
2,1399,681.8687,27.17009,64.5,55664,681.8687,4.43,-1,1,-1,
2,1400,629.78613,27.20142,48.4,25978,629.78613,3.33,-1,1,-1,
2,1401,630.30396,27.20811,48.3,367866,630.30396,3.33,-1,1,-1,
2,1402,629.637,27.21567,48.3,603880,629.637,3.33,-1,1,-1,
2,1403,630.6387,27.21674,48.3,149812,630.6387,3.33,-1,1,-1,
2,1404,943.94946,27.21951,88.5,17862,943.94946,6.08,-1,1,-1,
2,1405,629.97,27.23231,48.3,620473,629.97,3.33,-1,1,-1,
2,1406,630.1187,27.23379,48.3,28209,630.1187,3.33,-1,1,-1,
2,1407,944.4498,27.24268,88,18654,944.4498,6.08,-1,1,-1,
2,1408,525.2287,27.24819,49.2,31352,525.2287,3.41,-1,1,-1,
2,1409,823.0629,27.24912,75.5,34848,823.0629,5.18,-1,1,-1,
2,1410,630.9733,27.25027,48.3,36211,630.9733,3.33,-1,1,-1,
2,1411,732.40186,27.25118,66.8,36911,732.40186,4.57,-1,1,-1,
2,1412,731.90497,27.25673,67.4,87117,731.90497,4.64,-1,1,-1,
2,1413,731.4034,27.26076,67.5,111631,731.4034,4.64,-1,1,-1,
2,1414,807.73883,27.26116,73.6,25890,807.73883,5.05,-1,1,-1,
2,1415,601.3512,27.2632,88.9,41126,601.3512,6.09,-1,1,-1,
2,1416,496.63165,27.26405,46.4,24569,496.63165,3.2,-1,1,-1,
2,1417,807.0664,27.26418,72.9,82253,807.0664,4.98,-1,1,-1,
2,1418,620.0397,27.26458,55.3,31796,620.0397,3.81,-1,1,-1,
2,1419,355.06583,27.26519,43.6,97680,355.06583,3,-1,1,-1,
2,1420,806.73224,27.26653,72.5,70076,806.73224,4.98,-1,1,-1,
2,1421,518.31476,27.27167,71.2,32985,518.31476,4.93,-1,1,-1,
2,1422,625.7933,27.27341,53.1,144935,625.7933,3.68,-1,1,-1,
2,1423,787.43164,27.27424,113,57010,787.43164,7.82,-1,1,-1,
2,1424,786.42883,27.27456,112.7,131176,786.42883,7.75,-1,1,-1,
2,1425,823.3941,27.27535,74.2,19529,823.3941,5.11,-1,1,-1,
2,1426,626.79645,27.27602,52.7,36371,626.79645,3.61,-1,1,-1,
2,1427,626.2952,27.27674,52.8,87317,626.2952,3.61,-1,1,-1,
2,1428,541.29205,27.27681,75.5,27998,541.29205,5.19,-1,1,-1,
2,1429,822.0618,27.2777,74.8,69227,822.0618,5.11,-1,1,-1,
2,1430,807.4026,27.27886,73.3,76026,807.4026,5.05,-1,1,-1,
2,1431,754.8954,27.28003,68.2,36204,754.8954,4.71,-1,1,-1,
2,1432,822.3971,27.28014,75.2,103706,822.3971,5.18,-1,1,-1,
2,1433,654.37585,27.28136,95,39408,654.37585,6.57,-1,1,-1,
2,1434,420.67673,27.28164,37.2,29970,420.67673,2.58,-1,1,-1,
2,1435,822.7292,27.28294,75.2,61201,822.7292,5.18,-1,1,-1,
2,1436,754.397,27.29524,67.9,43317,754.397,4.64,-1,1,-1,
2,1437,620.79016,27.30473,55.1,25050,620.79016,3.81,-1,1,-1,
2,1438,496.4336,27.33702,47,34142,496.4336,3.27,-1,1,-1,
2,1439,328.18494,27.343,45,24434,328.18494,3.13,-1,1,-1,
2,1440,620.5387,27.34351,54.8,42302,620.5387,3.74,-1,1,-1,
2,1441,293.69754,27.345,32.6,20862,293.69754,2.25,-1,1,-1,
2,1442,571.85675,27.35185,53,70178,571.85675,3.68,-1,1,-1,
2,1443,408.75522,27.3527,39.3,31725,408.75522,2.72,-1,1,-1,
2,1444,487.31992,27.35358,71.8,112397,487.31992,4.93,-1,1,-1,
2,1445,814.4956,27.35423,115.5,40021,814.4956,7.94,-1,1,-1,
2,1446,572.35803,27.35519,53.3,47772,572.35803,3.68,-1,1,-1,
2,1447,201.12172,27.35652,30.2,125230,201.12172,2.11,-1,1,-1,
2,1448,408.2535,27.35655,39.1,141618,408.2535,2.72,-1,1,-1,
2,1449,496.2308,27.36079,46.6,25879,496.2308,3.2,-1,1,-1,
2,1450,587.3902,27.36085,84.9,105119,587.3902,5.81,-1,1,-1,
2,1451,586.3868,27.36176,85.1,316357,586.3868,5.88,-1,1,-1,
2,1452,620.2896,27.36226,54.7,64370,620.2896,3.74,-1,1,-1,
2,1453,831.7378,27.36254,74.6,40567,831.7378,5.11,-1,1,-1,
2,1454,815.4987,27.36548,115,21752,815.4987,7.94,-1,1,-1,
2,1455,488.32266,27.36642,71.9,29021,488.32266,4.93,-1,1,-1,
2,1456,572.8598,27.36741,52.9,19399,572.8598,3.61,-1,1,-1,
2,1457,831.06757,27.3678,75.1,50954,831.06757,5.18,-1,1,-1,
2,1458,831.40045,27.36786,75.1,53784,831.40045,5.18,-1,1,-1,
2,1459,832.06757,27.36956,74.7,23697,832.06757,5.11,-1,1,-1,
2,1460,371.0992,27.37175,47.8,84903,371.0992,3.27,-1,1,-1,
2,1461,588.39215,27.37391,85.1,21541,588.39215,5.88,-1,1,-1,
2,1462,407.75284,27.38004,39.1,337988,407.75284,2.72,-1,1,-1,
2,1463,603.337,27.42341,54.9,21827,603.337,3.74,-1,1,-1,
2,1464,724.3787,27.42566,63.699997,22012,724.3787,4.37,-1,1,-1,
2,1465,606.5983,27.42948,47.8,29244,606.5983,3.26,-1,1,-1,
2,1466,723.87915,27.44299,63.9,37284,723.87915,4.37,-1,1,-1,
2,1467,602.83374,27.45557,54.8,37161,602.83374,3.74,-1,1,-1,
2,1468,541.2845,27.46998,47.9,84127,541.2845,3.26,-1,1,-1,
2,1469,540.42114,27.47437,47.8,25945,540.42114,3.26,-1,1,-1,
2,1470,809.9225,27.47557,84.9,43359,809.9225,5.8,-1,1,-1,
2,1471,540.2831,27.48766,47.9,539618,540.2831,3.26,-1,1,-1,
2,1472,704.8505,27.48875,72.7,18222,704.8505,4.99,-1,1,-1,
2,1473,540.61664,27.49036,48,530885,540.61664,3.33,-1,1,-1,
2,1474,810.4177,27.4923,85.1,29177,810.4177,5.87,-1,1,-1,
2,1475,810.921,27.49261,84.7,27379,810.921,5.8,-1,1,-1,
2,1476,540.9498,27.49475,48,253452,540.9498,3.33,-1,1,-1,
2,1477,704.3476,27.49478,72.5,36930,704.3476,4.99,-1,1,-1,
2,1478,703.8426,27.50061,72.9,60058,703.8426,4.99,-1,1,-1,
2,1479,471.276,27.50476,66.6,23274,471.276,4.58,-1,1,-1,
2,1480,771.38245,27.51458,57.8,61887,771.38245,3.95,-1,1,-1,
2,1481,772.7146,27.51612,73.7,13419,772.7146,5.06,-1,1,-1,
2,1482,772.0528,27.51714,73.4,97964,772.0528,5.06,-1,1,-1,
2,1483,771.3849,27.52101,73.6,147250,771.3849,5.06,-1,1,-1,
2,1484,771.71826,27.52135,58,83923,771.71826,4.02,-1,1,-1,
2,1485,458.29166,27.52308,66.4,26876,458.29166,4.58,-1,1,-1,
2,1486,625.83344,27.52473,57.6,55458,625.83344,3.95,-1,1,-1,
2,1487,771.7181,27.52512,73.6,175947,771.7181,5.06,-1,1,-1,
2,1488,772.05023,27.52549,58.1,61319,772.05023,4.02,-1,1,-1,
2,1489,772.383,27.5284,73.6,53446,772.383,5.06,-1,1,-1,
2,1490,626.3323,27.52901,57.4,38886,626.3323,3.95,-1,1,-1,
2,1491,625.33234,27.52992,57.8,104740,625.33234,3.95,-1,1,-1,
2,1492,772.3894,27.53104,57.8,22901,772.3894,3.95,-1,1,-1,
2,1493,772.7163,27.53123,57.9,11363,772.7163,3.95,-1,1,-1,
2,1494,626.8401,27.53607,57,11394,626.8401,3.95,-1,1,-1,
2,1495,676.34534,27.59579,93.9,19521,676.34534,6.44,-1,1,-1,
2,1496,675.3408,27.59965,94.1,65918,675.3408,6.5,-1,1,-1,
2,1497,675.0306,27.61645,52,20537,675.0306,3.61,-1,1,-1,
2,1498,523.6121,27.6201,43.4,46688,523.6121,3,-1,1,-1,
2,1499,523.94666,27.62086,43.3,36635,523.94666,3,-1,1,-1,
2,1500,524.28314,27.62378,43.4,23363,524.28314,3,-1,1,-1,
2,1501,674.3587,27.62997,52.1,95203,674.3587,3.61,-1,1,-1,
2,1502,796.9275,27.63305,71.3,28847,796.9275,4.91,-1,1,-1,
2,1503,674.02563,27.63399,52,125361,674.02563,3.61,-1,1,-1,
2,1504,796.429,27.6411,71.3,18955,796.429,4.91,-1,1,-1,
2,1505,673.69073,27.64692,52.1,104700,673.69073,3.61,-1,1,-1,
2,1506,674.695,27.68846,52,49767,674.695,3.61,-1,1,-1,
2,1507,681.8799,27.70183,63.1,21478,681.8799,4.37,-1,1,-1,
2,1508,642.35187,27.70624,60.4,29950,642.35187,4.16,-1,1,-1,
2,1509,527.31464,27.70777,50.2,193206,527.31464,3.48,-1,1,-1,
2,1510,680.87646,27.71033,63.199997,59177,680.87646,4.37,-1,1,-1,
2,1511,528.31714,27.71107,50,33467,528.31714,3.48,-1,1,-1,
2,1512,634.33795,27.71373,57.1,32596,634.33795,3.95,-1,1,-1,
2,1513,527.81665,27.72123,50.3,100314,527.81665,3.48,-1,1,-1,
2,1514,633.8366,27.72419,57.1,51049,633.8366,3.95,-1,1,-1,
2,1515,681.3785,27.72671,63.1,43142,681.3785,4.37,-1,1,-1,
2,1516,442.7135,27.7786,44.4,61307,442.7135,3.06,-1,1,-1,
2,1517,643.35034,27.77955,61,54674,643.35034,4.23,-1,1,-1,
2,1518,749.9063,27.78089,70.9,19980,749.9063,4.85,-1,1,-1,
2,1519,468.22888,27.78104,41.3,29312,468.22888,2.86,-1,1,-1,
2,1520,474.56793,27.78139,41.6,219739,474.56793,2.86,-1,1,-1,
2,1521,699.375,27.7822,108,15428,699.375,7.47,-1,1,-1,
2,1522,262.66205,27.78258,31.5,18962,262.66205,2.18,-1,1,-1,
2,1523,474.0288,27.78292,41.5,26773,474.0288,2.86,-1,1,-1,
2,1524,473.89987,27.78337,41.6,706537,473.89987,2.86,-1,1,-1,
