func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,48,551.8725,0.0,67.8427,4353,5.90199,4.34,-1.0,1,-1.0
1,47,552.3685,0.0,67.6343,4100,6.17355,4.34,-1.0,1,-1.0
1,46,560.8683,0.0,67.6041,22994,5.28187,4.34,-1.0,1,-1.0
1,43,561.3748,0.0,67.4384,18341,5.23034,4.34,-1.0,1,-1.0
1,44,561.8829,0.0,67.5681,8617,5.03719,4.34,-1.0,1,-1.0
1,100,562.307,0.0,93.3832,10271,8.363,6.01,-1.0,1,-1.0
1,42,562.3908,0.0,67.3666,2049,4.96184,4.34,-1.0,1,-1.0
1,105,577.3773,0.0,96.5041,13261,8.01418,6.2,-1.0,1,-1.0
1,107,578.3836,0.0,97.8101,2789,5.03873,6.27,-1.0,1,-1.0
1,108,595.3831,0.0,97.9194,37083,8.52639,6.27,-1.0,1,-1.0
1,106,596.3961,0.0,97.7322,15273,8.45245,6.27,-1.0,1,-1.0
1,57,600.4056,0.0,72.4284,2653,5.98105,4.66,-1.0,1,-1.0
1,56,600.9016,0.0,72.2138,2967,6.29964,4.66,-1.0,1,-1.0
1,64,609.3926,0.0,73.9404,33237,5.68617,4.72,-1.0,1,-1.0
1,63,609.9026,0.0,73.8967,28656,5.99043,4.72,-1.0,1,-1.0
1,62,610.4218,0.0,73.7843,14910,5.93397,4.72,-1.0,1,-1.0
1,61,610.9296,0.0,73.7012,3543,5.60719,4.72,-1.0,1,-1.0
1,110,613.4025,0.0,100.1076,8571,8.0343,6.46,-1.0,1,-1.0
1,109,617.3746,0.0,99.4918,3078,5.72585,6.39,-1.0,1,-1.0
1,112,630.4139,0.0,107.0814,6210,8.49477,6.9,-1.0,1,-1.0
1,68,646.9231,0.0,76.1822,2240,3.77339,4.91,-1.0,1,-1.0
1,70,647.4257,0.0,76.4584,5191,7.40788,4.91,-1.0,1,-1.0
1,114,647.4347,0.0,107.5567,12801,4.70292,6.9,-1.0,1,-1.0
1,113,648.446,0.0,107.4498,11902,8.40844,6.9,-1.0,1,-1.0
1,75,655.9266,0.0,78.3329,16046,7.26307,5.04,-1.0,1,-1.0
1,74,656.4259,0.0,78.2474,15718,7.20589,5.04,-1.0,1,-1.0
1,73,656.9307,0.0,78.0378,8711,7.17062,5.04,-1.0,1,-1.0
1,111,664.4226,0.0,105.5298,7336,8.17674,6.77,-1.0,1,-1.0
1,82,664.926,0.0,80.6681,31086,7.15203,5.16,-1.0,1,-1.0
1,83,665.4295,0.0,81.0807,14457,4.15055,5.23,-1.0,1,-1.0
1,78,665.936,0.0,79.4085,15462,7.50456,5.1,-1.0,1,-1.0
1,79,666.4451,0.0,79.4811,2025,4.05624,5.1,-1.0,1,-1.0
1,81,673.898,0.0,80.5413,74624,7.3203,5.16,-1.0,1,-1.0
1,86,674.4246,0.0,83.0245,9770,3.78604,5.36,-1.0,1,-1.0
1,65,674.4262,0.0,75.3783,10394,3.93325,4.84,-1.0,1,-1.0
1,66,674.9343,0.0,75.6728,12340,4.07153,4.84,-1.0,1,-1.0
1,85,674.9366,0.0,82.6803,21739,7.7921,5.29,-1.0,1,-1.0
1,76,675.1732,0.0,78.9383,2664,6.0437,5.04,-1.0,1,-1.0
1,116,675.4011,0.0,109.8754,6306,5.74627,7.03,-1.0,1,-1.0
1,71,675.4394,0.0,76.7769,4534,4.34377,4.91,-1.0,1,-1.0
1,84,675.4431,0.0,82.0777,4809,4.25811,5.29,-1.0,1,-1.0
