func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
2,1241,517.22534,26.42641,46.4,21747,517.22534,3.2,-1,1,-1,
2,1242,621.9708,26.47325,54.6,20832,621.9708,3.74,-1,1,-1,
2,1243,619.9751,26.47391,53.2,34418,619.9751,3.68,-1,1,-1,
2,1244,920.9613,26.47446,98.7,35804,920.9613,6.77,-1,1,-1,
2,1245,771.86993,26.47529,75.4,73482,771.86993,5.19,-1,1,-1,
2,1246,515.24786,26.47698,46.4,23190,515.24786,3.2,-1,1,-1,
2,1247,615.6433,26.47979,54.5,58954,615.6433,3.74,-1,1,-1,
2,1248,614.9772,26.4814,54.4,409712,614.9772,3.74,-1,1,-1,
2,1249,772.36945,26.48153,75.5,35985,772.36945,5.19,-1,1,-1,
2,1250,771.3655,26.48154,75.6,95208,771.3655,5.19,-1,1,-1,
2,1251,547.6047,26.48207,48.3,24369,547.6047,3.33,-1,1,-1,
2,1252,548.27106,26.48405,47.9,21634,548.27106,3.26,-1,1,-1,
2,1253,547.93695,26.487,48.1,38961,547.93695,3.33,-1,1,-1,
2,1254,614.30896,26.48702,54.2,663170,614.30896,3.74,-1,1,-1,
2,1255,614.64307,26.48717,54.3,654777,614.64307,3.74,-1,1,-1,
2,1256,514.58057,26.48756,46.2,48789,514.58057,3.2,-1,1,-1,
2,1257,300.19012,26.48899,41.8,25227,300.19012,2.87,-1,1,-1,
2,1258,615.8388,26.48918,57.5,287967,615.8388,3.95,-1,1,-1,
2,1259,921.9606,26.48938,98.9,20284,921.9606,6.77,-1,1,-1,
2,1260,616.3391,26.48987,57.5,101712,616.3391,3.95,-1,1,-1,
2,1261,615.3346,26.49007,57.4,470632,615.3346,3.95,-1,1,-1,
2,1262,940.96014,26.49118,85,20051,940.96014,5.87,-1,1,-1,
2,1263,475.23505,26.49339,44.3,23082,475.23505,3.06,-1,1,-1,
2,1264,615.9782,26.49468,55.9,22066,615.9782,3.81,-1,1,-1,
2,1265,616.8403,26.49524,57.3,34144,616.8403,3.95,-1,1,-1,
2,1266,494.23383,26.496,41,21224,494.23383,2.86,-1,1,-1,
2,1267,620.30695,26.49618,52.5,22477,620.30695,3.61,-1,1,-1,
